"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",6,2,8,3,8,10,13,9
"2",10,3,13,2,0,9,9,14
"3",9,4,7,2,1,14,9,11
"4",15,0,11,1,0,11,13,11
"5",12,0,14,0,2,11,11,14
"6",7,2,9,4,2,14,7,11
"7",13,0,7,5,0,11,13,7
"8",11,2,13,5,0,7,9,15
"9",11,0,9,1,4,15,11,9
"10",11,0,11,5,3,9,11,11
"11",7,1,12,7,5,11,5,13
"12",11,0,6,7,1,13,10,6
"13",15,1,9,5,3,6,15,10
"14",8,1,15,3,7,10,7,16
"15",5,0,7,8,7,16,5,7
"16",16,1,9,8,5,7,11,10
"17",9,1,11,6,3,10,8,12
"18",12,0,8,4,3,12,12,8
"19",11,0,13,5,7,8,10,13
"20",6,0,12,7,6,13,4,12
