"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",6,2,7,3,10,14,12,5
"2",16,7,8,0,6,10,16,7
"3",10,6,14,1,4,10,8,15
"4",11,5,7,1,4,19,9,8
"5",19,4,6,0,4,12,18,6
"6",12,13,7,0,13,19,10,7
"7",19,9,2,0,9,16,18,2
"8",16,5,13,0,5,7,16,13
"9",7,8,8,0,8,21,7,8
"10",21,3,7,0,3,11,18,7
"11",11,12,6,0,12,19,11,6
"12",19,8,3,0,8,14,19,3
"13",14,7,12,0,7,10,14,12
"14",10,6,8,0,6,18,10,8
"15",18,2,8,0,2,10,18,8
"16",10,12,6,0,12,20,10,6
"17",20,8,2,0,8,14,20,2
"18",14,7,13,0,7,9,14,13
"19",9,6,8,0,6,19,9,8
"20",19,2,7,0,2,10,19,7
